"GPST","TWD97_x","TWD97_y","Section","Direction","Mag_x","Mag_y","Mag_z","Mag_v","Mag_h","Mag_sum","Grid"
218056.603,170042.28975,2544446.4797,1,1,-9.016,13.856,-31.666,32.7109949508416,14.3528170519245,35.7213178368324,53.5258027783703
218057.102,170043.2102,2544446.4288,1,1,-8.824,13.454,-30.848,31.9686330532166,13.7287543757177,34.7918409400825,54.4476649467869
218057.703,170044.28835,2544446.3657,1,1,-7.182,11.483,-27.719,29.0063993118502,10.5077196841891,30.8509865968659,55.5276708952168
218058.303,170045.32345,2544446.2984,1,1,-4.721,8.517,-24.303,25.0453933174831,7.6283164966178,26.1813471578527,56.5649591947922
218084.004,170044.12984,2544448.566,2,3,4.331,45.018,-47.478,60.9164478448687,24.2636508168781,65.5708652451682,0.520907216960125
218084.804,170044.1759,2544449.511,2,3,2.778,43.622,-43.537,54.6650153174197,28.5972487723255,61.6933265191625,1.46783436847817
218085.502,170044.25312,2544450.5442,2,3,2.585,44.701,-41.133,53.9881255096292,27.9654719065587,60.8011950129272,2.5039236972404
218086.102,170044.34052,2544451.5446,2,3,6.287,45.521,-37.046,54.6508059632523,22.3020925826917,59.0262138884072,3.50825697905369
218086.602,170044.41702,2544452.4448,2,3,9.072,47.588,-35.759,56.4727555400751,20.8914549687407,60.2131630874845,4.41205526277088
218087.203,170044.49799,2544453.59,2,3,10.74,45.1,-36.493,56.8509665708383,15.7817695129989,59.0008190536369,5.56034458725754
218087.703,170044.57193,2544454.5757,2,3,10.236,40.731,-36.85,54.4400761983433,12.5694335798626,55.8722879162828,6.54894103769225
218088.203,170044.62853,2544455.576,2,3,7.233,36.446,-33.12,48.2514112956017,12.2214120699157,49.7751102962113,7.55084107082034
218088.704,170044.68514,2544456.591,2,3,3.466,35.412,-35.708,48.5363252083229,13.6128358277003,50.4091674598976,8.56741876933428
218089.203,170044.73163,2544457.6153,2,3,-0.513,37.481,-40.491,52.189478271913,17.9127878540869,55.1779812153363,9.59287468476818
218089.603,170044.76683,2544458.444,2,3,-0.877,43.138,-43.795,58.3012835839752,19.5094472105415,61.4789248279441,10.4225100282869
218090.104,170044.81334,2544459.4814,2,3,-0.388,47.858,-41.256,60.0042668345251,19.8011162728547,63.1869942630602,11.4611556910125
218090.603,170044.85976,2544460.5083,2,3,2.077,48.108,-35.038,56.7416808818404,18.075859252146,59.5512807334989,12.4892046387196
218091.103,170044.92683,2544461.5473,2,3,1.288,47.76,-36.549,56.3266605015245,21.1142904627648,60.1540185274434,13.5305656435327
218091.603,170045.00423,2544462.6003,2,3,-1.256,44.724,-34.262,52.0422824809641,21.6171041115949,56.3533349146259,14.5867111792249
218092.003,170045.07322,2544463.4393,2,3,-5.788,44.265,-31.832,48.5364683591697,25.5025220756559,54.8285271824805,15.4286196213051
218092.505,170045.1732,2544464.4985,2,3,-5.042,44.705,-25.69,45.0417686844208,25.5963662026298,51.8067069885744,16.4925806139651
218093.002,170045.27622,2544465.5612,2,3,-8.4,46.873,-23.933,44.673395379173,29.0639701915634,53.2956528996503,17.560277348899
218093.403,170045.35263,2544466.4269,2,3,-7.798,49.257,-23.587,47.3516778239035,28.3059362901361,55.167086401223,18.4295258753612
218093.903,170045.45066,2544467.5176,2,3,-8.262,50.242,-26.083,49.6716611760857,28.3825328857053,57.2087589185432,19.5247109790466
218094.303,170045.52713,2544468.3916,2,3,-2.979,52.275,-29.666,55.1416224747077,24.1044206081957,60.1799104519108,20.4021278649059
218094.803,170045.61493,2544469.4809,2,3,2.254,52.445,-32.439,58.1006074204723,20.7886189866513,61.7077569030021,21.495068898352
218095.302,170045.70272,2544470.5612,2,3,1.771,54.107,-33.576,59.4730302412845,22.8256509199465,63.702838759352,22.5791181136047
218095.703,170045.76876,2544471.4233,2,3,2.153,56.292,-36.304,62.9982154668835,22.8611009574805,67.0179460219425,23.4439736953075
218096.203,170045.83596,2544472.4926,2,3,1.181,53.335,-37.919,62.1495022008242,20.5257624265152,65.4512608511097,24.5154847454866
218096.703,170045.91343,2544473.5613,2,3,2.152,47.984,-35.088,57.3630339012677,15.7399315640828,59.4833010516397,25.587189736934
218097.103,170045.97953,2544474.4206,2,3,-0.598,43.001,-28.16,47.9806431053208,18.4468721522058,51.4045640483411,26.4492621622663
218097.603,170046.06723,2544475.4983,2,3,-4.002,40.102,-23.131,41.3130993855594,21.2710457702224,46.4675108974001,27.5308146634329
218098.003,170046.14363,2544476.3676,2,3,-4.426,42.402,-23.405,42.2617351274242,24.0677969290802,48.6344847304873,28.4035517839456
218098.502,170046.24172,2544477.4624,2,3,-1.367,43.988,-19.285,43.2734826554814,20.883719900098,48.0491837391646,29.5028216284187
218099.002,170046.33982,2544478.5594,2,3,-2.341,49.973,-20.937,48.7718611962056,23.7159131061415,54.232268798198,30.6043974509615
218099.403,170046.40603,2544479.4406,2,3,-0.882,54.634,-22.871,54.2026582076027,23.8915542447494,59.2345720082453,31.4882217061665
218099.903,170046.50423,2544480.5466,2,3,-3.095,57.356,-30.283,58.6734559377308,27.8168189828234,64.9334262918568,32.5987612102451
218100.302,170046.58064,2544481.4304,2,3,-3.501,59.239,-39.474,64.9335430095165,29.3827805054468,71.2721039257296,33.485959546737
218100.802,170046.67882,2544482.5434,2,3,-3.5,58.648,-44.347,66.7911884843462,30.9423892718152,73.6104225840336,34.6033736240128
218101.203,170046.75536,2544483.4379,2,3,-4.231,56.313,-43.062,64.1641069194625,30.4361390000076,71.01683725709,35.5012172626773
218101.604,170046.82572,2544484.3288,2,3,-3.606,55.576,-44.838,65.5378781556598,28.5819485489337,71.4992395484036,36.3949407759689
218102.103,170046.91973,2544485.4256,2,3,-3.498,53.066,-43.176,62.742329690618,27.491878818913,68.5011192317323,37.4959428081577
218102.602,170047.00752,2544486.5114,2,3,-0.197,51.132,-48.887,66.4158657019415,24.3596343376019,70.7422009977072,38.5855031921899
218103.003,170047.07363,2544487.3773,2,3,2.567,49.638,-49.466,67.1093616449606,20.3405818158156,70.1242161382215,39.4541524957037
218103.503,170047.15116,2544488.4636,2,3,4.799,47.651,-47.879,65.3021237056649,17.9354253512439,67.720357670349,40.5433830618571
218103.904,170047.21734,2544489.3318,2,3,5.814,50.74,-48.69,68.4161911835613,17.271105347788,70.5624992187777,41.4143463907579
218104.402,170047.29482,2544490.4064,2,3,10.112,49.51,-47.284,67.8872367446211,13.4384666974981,69.2045468159427,42.491935411082
218104.903,170047.36203,2544491.4873,2,3,11.289,49.566,-51.951,71.3496880244621,13.8693293569634,72.685186097306,43.5751119668832
218105.303,170047.41803,2544492.3643,2,3,11.201,52.891,-56.314,76.6448397129831,14.8241500050133,78.0652731885312,44.4540814708195
218105.803,170047.48533,2544493.4536,2,3,8.765,55.699,-54.394,76.5965508943012,16.4584158744613,78.3448215391419,45.5455522567515
218106.202,170047.54122,2544494.3274,2,3,9.259,54.914,-58.429,78.7327385686447,17.7870850754542,80.7169407125914,46.4213205663113
218106.703,170047.59833,2544495.4319,2,3,10.18,53.507,-62.328,80.9238569224213,17.3994371690433,82.7732507093928,47.5272962604504
218107.104,170047.64404,2544496.3108,2,3,11.757,48.739,-57.785,75.5825544975567,11.8364205156739,76.503747587945,48.4073842420048
218107.603,170047.70103,2544497.3906,2,3,13.315,45.725,-49.171,68.1800429312352,6.11014213377463,68.4532840044946,49.4886871524196
218108.104,170047.74774,2544498.4644,2,3,13.634,49.1,-43.47,66.7667360625224,5.34226651876074,66.980122842527,50.5635976176508
218108.503,170047.79326,2544499.3146,2,3,11.46,48.081,-35.217,60.2468649018558,7.32574361396423,60.6906191268469,51.4150153565461
218109.003,170047.86043,2544500.3796,2,3,7.68,47.143,-27.854,54.1584190783187,11.1425225123042,55.2927677458816,52.4823266728537
218109.503,170047.94813,2544501.4363,2,3,6.703,46.398,-25.877,52.2389197339997,11.7651607309353,53.5473971542969,53.5427669325628
218110.003,170048.02543,2544502.4873,2,3,7.458,45.839,-26.549,52.3494089617276,11.0101983341715,53.4947201693775,54.596907655202
218110.403,170048.08116,2544503.3273,2,3,7.792,44.154,-28.2,51.661135754131,11.6900826598126,52.9672632859203,55.4389319420737
218110.903,170048.15843,2544504.3583,2,3,6.023,42.947,-30.326,51.4533961200815,12.3667150735345,52.9186887025746,56.4731243420445
218111.403,170048.23563,2544505.387,2,3,5.426,44.684,-35.533,55.8097433628749,13.1896916859358,57.3471483249167,57.504931286589
218111.902,170048.30232,2544506.3558,2,3,2.333,43.196,-38.878,56.6944772021105,12.9835451160063,58.1621542671865,58.4761073604052
218143.803,170041.55115,2544508.4506,3,2,33.688,19.418,-37.395,52.6657898156569,-11.6893402762112,53.9474382431641,0.551000864942729
218144.302,170040.6208,2544508.5514,3,2,32.222,16.961,-31.45,45.2969748143791,-16.2240370335346,48.1148137791263,1.48694432609551
218144.902,170039.5448,2544508.6392,3,2,32.089,17.453,-28.153,40.5352777494096,-21.995313063883,46.1183536024434,2.56654704839644
218145.503,170038.57935,2544508.7073,3,2,33.898,17.583,-29.41,41.1940702442842,-25.0246472444463,48.1994231604487,3.53441378144886
218146.203,170037.58525,2544508.766,3,2,33.312,22.018,-33.157,46.6496399653027,-22.7525692638794,51.9024885434215,4.53027241865837
218146.803,170036.67614,2544508.8233,3,2,34.18,25.085,-37.28,53.7429241325093,-17.2923720376167,56.456425896438,5.44121530551148
218147.502,170035.56016,2544508.9144,3,2,36.065,26.288,-35.599,54.2781573389846,-17.6893642023798,57.087931912095,6.56099944201517
218148.103,170034.60614,2544508.9953,3,2,38.905,29.342,-33.992,56.8748530260001,-17.1831064208684,59.4138708804602,7.51846687553319
218148.702,170033.60286,2544509.0762,3,2,38.508,31.532,-35.16,59.4046711972946,-13.5810061461336,60.9373341064409,8.52505157490928
218149.303,170032.56375,2544509.1526,3,2,37.302,31.703,-33.851,57.6187234406514,-14.9161765566693,59.5181452499992,9.56703097302956
218149.803,170031.66185,2544509.2126,3,2,34.832,34.209,-36.321,59.9427804630897,-10.4690981633487,60.8501351354292,10.4709257305869
218150.302,170030.7107,2544509.2662,3,2,34.89,34.521,-40.15,62.5480876021245,-10.4293230037698,63.4116238634527,11.4236001236985
218150.903,170029.55055,2544509.3403,3,2,33.308,32.648,-42.677,62.0779674572957,-11.9568830959803,63.2189931666109,12.5861236863781
218151.403,170028.56981,2544509.4086,3,2,32.295,30.638,-43.526,61.2992268219244,-10.8890557916775,62.2588688059782,13.5692453392534
218151.903,170027.59315,2544509.4773,3,2,33.037,31.352,-46.881,64.7146801826773,-9.17766870473049,65.3622171747562,14.5483321998254
218152.403,170026.61955,2544509.5443,3,2,35.045,33.531,-45.571,65.1764104654636,-13.4622266299973,66.5522052752574,15.5242474870312
218152.903,170025.65625,2544509.6173,3,2,40.379,34.431,-48.035,67.7243431003632,-23.1674767427159,71.5773611346493,16.4903354023139
218153.403,170024.72365,2544509.6893,3,2,42.369,26.105,-43.623,59.6118382629113,-28.7401818699274,66.1783145373165,17.4257243204322
218154.002,170023.619,2544509.7826,3,2,40.182,22.107,-33.944,49.440078893972,-28.4813326225763,57.0570566100285,18.5343618047911
218154.503,170022.69465,2544509.8693,3,2,35.769,23.322,-32.643,49.0552118457731,-21.9656250711498,53.7485115514839,19.462830334601
218155.104,170021.5757,2544509.9702,3,2,36.195,25.928,-33.308,51.6489857347782,-20.5947650039685,55.6036156468264,20.5864447331934
218155.604,170020.6432,2544510.0494,3,2,34.37,27.361,-31.259,51.1303877785808,-17.1093467909198,53.9170316504906,21.5223983818381
218156.102,170019.7249,2544510.1172,3,2,37.739,29.447,-28.913,51.2376826004865,-22.4057890004302,55.922441819005,22.4432414481105
218156.702,170018.6386,2544510.1854,3,2,39.145,31.287,-29.825,53.2985064757418,-23.6644718186422,58.3158470657848,23.5317009802422
218157.303,170017.59115,2544510.2533,3,2,44.619,33.553,-29.467,56.0273107485185,-29.0844203877083,63.126563814293,24.5813859350847
218157.803,170016.73035,2544510.3253,3,2,48.41,27.698,-26.19,52.2443116251644,-32.6673431244831,61.6167461328493,25.4452210323046
218158.403,170015.71595,2544510.4246,3,2,45.1,23.863,-21.863,46.2511434272696,-30.6965025641381,55.5107515531901,26.4644833114038
218159.003,170014.70145,2544510.5256,3,2,38.537,28.072,-26.493,51.0316199988357,-19.2559175915985,54.5437127632507,27.4840259683113
218159.603,170013.67675,2544510.6226,3,2,33.962,31.998,-34.472,55.8696899028528,-15.6264513616839,58.013862412358,28.5133319237504
218160.203,170012.64185,2544510.7156,3,2,31.777,33.493,-39.687,59.7937246760005,-11.4598096131938,60.8819903337596,29.5524252835097
218160.704,170011.7687,2544510.7814,3,2,29.037,31.958,-40.795,58.8938759480499,-7.75915806100836,59.4028042940735,30.4281084396144
218161.303,170010.75625,2544510.8676,3,2,32.084,34.632,-40.721,61.1980008617236,-11.9064273200855,62.3454755455438,31.4442418083624
218161.903,170009.74175,2544510.9593,3,2,33.943,36.866,-43.98,64.9399868218248,-15.1085312516214,66.6743549275132,32.4629050866537
218162.503,170008.75795,2544511.0393,3,2,37.158,35.54,-46.638,66.7309167152424,-19.1284176643909,69.4183809088054,33.4499855581564
218163.102,170007.7865,2544511.1254,3,2,35.49,27.134,-44.385,59.5096149602522,-20.6016506203393,62.9747749579147,34.4252690553562
218163.803,170006.67775,2544511.2253,3,2,33.197,21.657,-40.908,53.0808467591668,-20.6628804702987,56.9607840711485,35.5385313785958
218164.403,170005.75854,2544511.3033,3,2,31.152,22.118,-40.487,51.8708510936236,-20.2055686339962,55.6673171349222,36.4610522984869
218165.203,170004.69281,2544511.397,3,2,32.381,20.777,-37.185,48.5412311856605,-22.5096865811202,53.506421250164,37.5309428856435
218218.402,170002.36744,2544508.8596,4,1,-15.001,11.14,-29.136,27.5571665050671,20.9437024236883,34.6126580458652,0.504165591498261
218219.203,170003.38266,2544508.7054,4,1,-15.655,10.737,-29.727,26.9818671703012,22.7164162447385,35.2711882844908,1.5310676371725
218219.803,170004.29745,2544508.5724,4,1,-14.823,10.823,-30.655,29.2198507493804,20.5618093849722,35.7293672348112,2.45552463425638
218220.403,170005.30859,2544508.4384,4,1,-14.976,8.491,-27.8,26.5313869053758,19.1129057413376,32.6988938192105,3.47553468087857
218221.003,170006.30239,2544508.3127,4,1,-15.652,5.03,-24.509,23.5831933833479,17.7428880074134,29.5123209016167,4.47725861261924
218221.603,170007.27885,2544508.1987,4,1,-15.659,5.996,-23.746,22.830223325334,17.9947135546909,29.069379301939,5.46035448099779
218222.202,170008.3014,2544508.0896,4,1,-16.384,9.649,-28.128,26.641160288219,21.0468909698658,33.9517752260467,6.48871967514536
218222.803,170009.33835,2544507.9884,4,1,-15.123,8.225,-26.501,26.7317507441583,16.8544432465801,31.6015625404821,7.53061030669289
218223.403,170010.37325,2544507.8774,4,1,-12.021,11.591,-25.134,25.1328079210084,16.7007677669531,30.175713380134,8.57146109860657
218223.903,170011.26475,2544507.7837,4,1,-9.02,14.389,-21.209,21.6413082911377,16.4279998005824,27.1703036788329,9.46788808230223
218224.503,170012.34065,2544507.6901,4,1,-3.757,16.364,-21.797,24.7261300107974,12.0674458229214,27.5137193777941,10.5478572708
218225.003,170013.23225,2544507.6194,4,1,-3.304,15.712,-18.966,22.2567496970153,11.0512265800865,24.8493966928777,11.4422969987684
218225.602,170014.296,2544507.5388,4,1,-6.336,12.851,-18.673,20.0096110461267,12.3931227615449,23.536652820654,12.509143896454
218226.104,170015.20808,2544507.4666,4,1,-8.454,12.368,-20.268,21.317093655409,13.4465936982762,25.2037569421703,13.4241217297848
218226.703,170016.29635,2544507.3817,4,1,-9.277,14.154,-20.446,21.5269619952966,15.5250529227135,26.5412388746268,14.515716522564
218227.203,170017.21865,2544507.3047,4,1,-13.136,11.493,-22.385,21.2534375627571,18.8155032291455,28.3854147406727,15.441252824443
218227.802,170018.3029,2544507.2268,4,1,-15.071,12.156,-24.563,24.2642461947465,19.7355188074884,31.276897959996,16.5283471142884
218228.303,170019.22429,2544507.1687,4,1,-13.91,10.736,-22.602,22.2796748838061,17.9782170159306,28.6286604646463,17.4516026619892
218228.904,170020.3158,2544507.0976,4,1,-13.882,8.835,-18.318,17.9449491359168,16.8610519692385,24.6234902684408,18.5454277598568
218229.403,170021.19515,2544507.0477,4,1,-18.119,12.523,-20.157,21.3390048388129,20.8824139286893,29.8567971992979,19.4262023920203
218230.004,170022.27948,2544506.9752,4,1,-18.83,15,-24.226,24.0309349758362,24.2689542458494,34.1535938958113,20.5129684701213
218230.503,170023.19365,2544506.9117,4,1,-19.312,15.453,-28.729,28.7309972386954,24.7312310989583,37.9091544880653,21.4293512676842
218231.103,170024.30045,2544506.8337,4,1,-15.891,13.076,-32.655,31.5941432683349,22.1735155791752,38.5986357530937,22.5389394462694
218231.603,170025.24335,2544506.7797,4,1,-16.308,8.242,-31.37,30.1140397030522,20.2756736204496,36.3036957898228,23.4833861415431
218232.103,170026.19655,2544506.7327,4,1,-16.019,5.893,-25.87,24.8059967452278,18.5810450587622,30.9934301102669,24.4377637026853
218232.603,170027.17025,2544506.684,4,1,-17.362,7.281,-19.85,18.6824452450123,19.9860137262816,27.3582620975821,25.4127083557638
218233.103,170028.16445,2544506.6337,4,1,-15.428,7.604,-15.512,15.5303842428886,17.1835185357434,23.1617387948314,26.4081874647905
218233.702,170029.3513,2544506.5736,4,1,-15.906,8.286,-9.372,8.33625880384072,18.4390836311187,20.2359337812714,27.5965678859121
218234.204,170030.3496,2544506.5226,4,1,-13.938,12.154,-7.787,8.69903153676295,18.0818079660858,20.0655159166167,28.5961710151786
218234.703,170031.33145,2544506.4677,4,1,-13.41,16.316,-10.622,13.8404222177756,19.1653216209304,23.6403646333977,29.5795553064348
218235.202,170032.31124,2544506.4028,4,1,-13.891,18.358,-11.972,16.5360553795154,19.9965922468205,25.9481180242421,30.5615247740452
218235.702,170033.2663,2544506.3266,4,1,-12.913,22.876,-16.6,23.4854413396748,20.3482429236701,31.0743776285222,31.5196542340223
218236.203,170034.21115,2544506.2474,4,1,-14.233,23.837,-21.425,25.4640754584872,24.1120787997317,35.068668109867,32.4678449354021
218236.703,170035.17445,2544506.1664,4,1,-13.39,27.178,-26.706,31.0775540680033,25.7940274705276,40.3874512689276,33.434559818839
218237.303,170036.33245,2544506.0817,4,1,-14.841,25.744,-31.927,34.6616615941388,26.4747306224899,43.6158474181117,34.5956757138137
218237.803,170037.30615,2544506.0217,4,1,-14.008,26.004,-35.476,39.2219358550575,24.3437549236299,46.1625243677163,35.5712276552426
218238.302,170038.2572,2544505.9648,4,1,-15.896,22.786,-37.652,39.753703442096,24.6819930037646,46.7927100732582,36.5239879908272
218238.803,170039.17145,2544505.911,4,1,-16.077,16.401,-32.877,33.1054975716771,22.6359424264086,40.1043620944156,37.4398234397089
218239.403,170040.22705,2544505.8487,4,1,-17.44,13.63,-27.33,27.3473162430784,22.1129756998252,35.1690119281165,38.4972693152846
218240.002,170041.2294,2544505.7896,4,1,-20.72,12.461,-25.632,26.9291203038513,22.7248063723479,35.2362646289302,39.5013814142986
218240.703,170042.25319,2544505.7107,4,1,-23.24,11.207,-22.919,26.1065808968536,22.5703664984873,34.5105057917151,40.5282733048413
218246.103,170046.11887,2544500.6256,5,4,10.504,-8.155,-6.799,7.85184234509701,-12.7048421394263,14.9353420449617,0.509657844832793
218246.703,170045.94917,2544499.5629,5,4,11.171,-5.277,-7.97,9.91216846236877,-10.8585351854484,14.7023423303908,1.58594471527681
218247.203,170045.78027,2544498.6433,5,4,13.232,-4.756,-8.303,10.2364909585664,-12.7223984317105,16.3292733763631,2.52101763127131
218247.703,170045.62147,2544497.7073,5,4,16.351,-2.556,-4.684,8.17846568774316,-15.1307928409059,17.1996567698312,3.47039303639319
218248.203,170045.45968,2544496.7666,5,4,16.481,-4.655,-0.925,4.39549813583452,-16.5779252965465,17.1507437448059,4.42491717185958
218248.703,170045.30377,2544495.797,5,4,16.168,-8.194,-2.237,3.67317961262452,-17.8901587621072,18.2633520745782,5.40701693587628
218249.302,170045.14378,2544494.6192,5,4,17.722,-6.643,-5.898,7.48173540124191,-18.3577986802831,19.8238527284683,6.59580692580645
218249.802,170045.03598,2544493.636,5,4,18.5,-5.783,-7.578,8.64794197753232,-18.9296664670362,20.8115153941274,7.58490242936067
218250.303,170044.93847,2544492.654,5,4,18.338,-1.574,-7.824,11.0151362930737,-16.6925572769726,19.9993673899951,8.57180078394633
