"GPST","TWD97_x","TWD97_y","Section","Direction","Mag_x","Mag_y","Mag_z","Mag_v","Mag_h","Mag_sum","Grid"
217416.13,170027.2193,2544509.347,3,2,36.278,27.803,-48.309,62.7386891846191,-22.0616511937743,66.5045831052267,18.491904292014
217416.529,170026.18738,2544509.4428,3,2,35.452,26.182,-43.258,55.8904416985301,-26.2650817387497,61.7543196221932,19.5282838338211
217416.929,170025.16267,2544509.5327,3,2,35.126,24.286,-37.685,52.9644149306376,-20.9421977847419,56.9544106896033,20.5569384217378
217417.329,170024.14817,2544509.6228,3,2,32.177,25.655,-36.687,52.1424779628782,-17.9063205290969,55.1314277250281,21.5754411525507
217417.729,170023.15315,2544509.7159,3,2,32.738,26.046,-32.959,50.0546434569232,-18.1933809227503,53.2584870325848,22.5748332363038
217418.128,170022.16326,2544509.8054,3,2,33.9,26.51,-27.821,46.7540948474598,-20.9774344473946,51.2444937627449,23.5687952235696
217418.529,170021.18677,2544509.8948,3,2,35.499,27.157,-26.118,47.2086350154261,-21.2409122680804,51.7670896806069,24.5493994842254
217418.929,170020.23265,2544509.9767,3,2,38.454,27.717,-25.103,48.0317114451724,-23.8758771492837,53.6386317312439,25.5070419533656
217419.328,170019.28384,2544510.0666,3,2,39.444,29.063,-24.882,48.656963336713,-25.5362673045566,54.9508965258985,26.4601240794442
217419.73,170018.3451,2544510.148,3,2,42.628,28.993,-25.807,51.6194340321859,-25.6744174655786,57.6519009400384,27.4024094917901
217420.229,170017.19028,2544510.2538,3,2,38.932,30.321,-28.633,51.3205018034646,-24.9222480655456,57.0518391815724,28.5620728850603
217420.629,170016.28755,2544510.3378,3,2,36.636,34.421,-32.953,57.6184775833563,-17.1176221180474,60.1074200577599,29.4687137116466
217421.128,170015.1726,2544510.4348,3,2,33.401,36.519,-39.374,61.4896481671365,-14.7851008208186,63.242201400647,30.5878863079032
217421.529,170014.28935,2544510.5197,3,2,34.839,34.938,-42.629,63.3057167159924,-15.621704038757,65.2046885277432,31.4752166085294
217422.029,170013.20305,2544510.6087,3,2,30.652,33.394,-45.49,62.8910081095404,-12.9909791380682,64.2187234379507,32.5651909201548
217422.429,170012.35255,2544510.6897,3,2,31.644,33.466,-45.737,63.0545445325306,-15.4049821419929,64.9090830392789,33.4195412950576
217422.928,170011.2991,2544510.7786,3,2,34.121,34.641,-48.471,66.9737169861701,-15.1063098093606,68.6562405248059,34.4767472723292
