1616501039.428626,3005,3418,479,4576,-2.6,2.9,52.2
1616501039.523934,3046,3468,417,4635,-2.5,2.8,52.5
1616501039.624782,3047,3483,409,4646,-2.1,2.8,52.6
1616501039.722895,3124,3568,336,4754,-3.8,2.9,52.4
1616501039.820362,3111,3533,365,4722,-4.6,3.0,51.6
1616501039.918854,2972,3365,519,4519,-5.8,3.0,51.9
1616501040.018810,3006,3457,488,4607,-6.0,2.5,52.1
1616501040.114610,3068,3549,399,4708,-6.0,3.0,52.9
1616501040.214799,3139,3672,286,4839,-5.3,2.9,53.1
1616501040.304048,3028,3585,361,4706,-5.2,2.8,53.2
1616501040.408165,2914,3471,486,4558,-4.9,3.6,53.4
1616501040.507559,2813,3437,598,4481,-5.2,3.6,53.7
1616501040.609302,2814,3468,575,4503,-5.8,3.3,54.8
1616501040.702356,2820,3561,508,4570,-5.5,2.5,55.2
1616501040.800397,2887,3723,389,4727,-5.7,3.3,55.4
1616501040.899041,2913,3785,328,4787,-5.2,3.0,56.5
1616501040.997994,2915,3874,253,4854,-5.5,2.4,57.2
1616501041.087738,2906,4032,169,4972,-5.3,2.5,58.3
1616501041.191326,2879,4059,137,4978,-5.3,2.9,59.0
1616501041.296252,2760,4117,109,4958,-4.6,3.0,59.9
1616501041.387346,2699,4094,126,4905,-4.7,2.3,60.7
1616501041.485752,2630,4049,134,4830,-4.7,2.4,61.4
1616501041.584015,2506,4055,162,4770,-4.7,3.0,61.9
1616501041.671569,2500,4093,90,4796,-4.8,2.8,62.7
1616501041.818607,2531,4244,-50,4942,-5.3,2.4,63.1
1616501041.975069,2602,4351,-221,5074,-6.7,4.1,62.9
1616501042.075363,2813,4631,-579,5449,-6.3,3.9,63.0
1616501042.171082,2812,4588,-622,5417,-5.5,2.9,62.9
1616501042.269656,2725,4457,-616,5260,-4.6,1.5,62.9
1616501042.368091,2843,4641,-1017,5537,-6.2,2.7,63.2
1616501042.466167,2807,4627,-1104,5523,-6.2,3.0,64.0
1616501042.566606,2709,4540,-1109,5402,-6.3,4.0,64.6
1616501042.658391,2730,4546,-1340,5469,-5.9,3.4,64.1
1616501042.762815,2800,4573,-1506,5570,-6.4,3.4,63.7
1616501042.858140,2711,4334,-1545,5340,-5.3,3.3,63.3
1616501042.955727,2785,4394,-1734,5484,-6.0,2.8,63.3
1616501043.053480,2644,4191,-1673,5230,-6.9,2.5,63.1
1616501043.151409,2612,4118,-1881,5227,-7.0,4.4,63.9
1616501043.249931,2710,4202,-2082,5416,-6.0,3.8,63.2
1616501043.349963,2709,4117,-2155,5378,-7.1,2.7,62.7
1616501043.437604,2806,4146,-2346,5529,-7.6,3.3,61.4
1616501043.546152,2936,4179,-2543,5705,-7.4,4.5,62.3
1616501043.640957,2872,4102,-2845,5759,-7.4,3.2,62.3
1616501043.739361,2788,4115,-2974,5792,-6.0,4.0,63.8
1616501043.837010,2839,4219,-3191,6004,-8.9,3.0,63.5
1616501043.930109,2886,4268,-3566,6266,-8.8,-0.3,62.7
1616501044.033412,2885,4237,-3699,6321,-7.3,4.0,64.2
1616501044.135854,2837,4180,-3799,6320,-5.6,5.1,65.7
1616501044.220655,2846,4163,-4090,6493,-6.4,5.7,61.3
1616501044.329520,2982,4177,-4232,6652,-4.8,3.7,62.6
1616501044.424680,3312,4198,-4502,6990,-5.8,4.7,61.3
1616501044.524033,3361,4197,-4619,7088,-6.5,1.4,61.3
1616501044.620098,3390,4255,-4767,7233,-7.2,0.5,57.8
1616501044.719158,3528,4311,-4900,7418,-5.6,2.6,59.1
1616501044.816369,3608,4317,-4996,7524,-6.7,1.9,56.6
1616501044.916901,3631,4267,-5027,7527,-3.4,2.8,57.9
1616501045.005272,3779,4066,-5038,7496,-5.2,1.1,54.3
1616501045.112669,3946,3985,-4953,7482,-4.0,2.4,52.1
1616501045.212773,4238,3686,-4715,7333,-4.8,4.3,50.2
1616501045.305824,4244,3655,-4571,7229,-4.5,3.7,51.8
1616501045.403297,4247,3609,-4346,7068,-6.4,2.1,47.3
1616501045.502301,4236,3543,-3957,6794,-5.2,2.0,47.4
1616501045.600093,4150,3583,-3846,6697,-6.0,2.9,49.4
1616501045.700366,4048,3565,-3650,6513,-6.1,2.0,47.8
1616501045.788294,4172,3586,-3454,6496,-3.9,5.5,47.3
1616501045.895612,4078,3472,-3349,6317,-4.1,4.9,48.4
1616501045.980609,3920,3460,-3188,6124,-4.1,2.9,48.3
1616501046.089080,3877,3340,-3031,5948,-4.5,3.5,46.7
1616501046.187509,3905,3355,-2994,5956,-4.0,3.9,48.7
1616501046.284704,3905,3347,-2808,5860,-3.4,6.1,48.2
1616501046.383236,4086,3418,-2732,5987,-2.0,6.1,46.2
1616501046.484083,4241,3443,-2714,6100,-3.2,3.5,45.8
1616501046.574716,4304,3566,-2739,6224,-3.3,6.6,44.7
1616501046.679311,4392,3568,-2630,6240,-5.1,2.2,43.7
1616501046.774615,4426,3540,-2301,6116,-1.4,-2.3,42.5
1616501046.872420,4448,3501,-2035,6015,-4.6,5.5,42.9
1616501046.969828,4552,3584,-1741,6050,0.6,6.0,43.7
1616501047.069759,4563,3650,-1215,5968,-5.3,6.5,44.2
1616501047.166429,4526,3787,-1011,5987,-4.1,0.2,45.1
1616501047.266451,4495,3880,-726,5982,-5.1,2.9,46.1
1616501047.354468,4301,4089,-235,5939,-5.2,1.1,48.4
1616501047.462681,4153,4138,100,5863,-6.6,0.1,50.4
1616501047.557404,4182,4693,437,6301,-3.4,3.6,51.9
1616501047.655234,3919,4935,551,6326,-5.9,5.4,58.0
